subject_id	trial 	image 	position of image	sugar/free	bid	reaction time 	Q1	Q2	Q3	Q4	gender	age	day
s2	26	11	2	0	0	5.290451700000631	3	4	3	1	1	19	2
s2	27	40	1	1	60	6.408336799999233	3	2	5	4	1	19	2
s2	28	48	2	1	0	1.6050175000000309	5	3	1	1	1	19	2
s2	29	45	1	0	50	9.89723800000047	5	3	1	5	1	19	2
s2	30	43	2	0	50	3.587313600000016	4	4	1	5	1	19	2
s2	31	12	2	1	0	2.499942700000247	4	2	5	1	1	19	2
s2	32	26	2	1	40	2.0426190999996834	3	3	3	3	1	19	2
s2	33	5	2	0	60	2.921806400000605	5	4	1	5	1	19	2
s2	34	36	1	1	40	8.086329400000068	5	1	1	4	1	19	2
s2	35	56	1	1	0	4.372067299999799	5	3	4	1	1	19	2
s2	36	4	1	1	0	2.7306343999998717	3	3	5	2	1	19	2
s2	37	39	2	0	0	1.6694886000004772	5	4	2	1	1	19	2
s2	38	55	1	0	0	3.920646300000044	4	4	3	1	1	19	2
s2	39	20	1	1	20	9.433002099999612	1	2	2	2	1	19	2
s2	40	46	2	1	0	1.6874709999992774	1	3	4	3	1	19	2
s2	41	23	1	0	60	6.009573599999385	5	3	1	5	1	19	2
s2	42	52	1	1	40	3.3214027000003625	3	3	2	3	1	19	2
s2	43	27	1	0	0	1.9232673999995313	4	5	1	1	1	19	2
s2	44	16	1	1	40	2.103056899999501	4	3	4	3	1	19	2
s2	45	8	1	1	10	10.992151499999636	1	4	1	3	1	19	2
s2	46	10	1	1	0	3.509953400000086	2	3	5	1	1	19	2
s2	47	35	2	0	30	3.1007259999996677	5	2	1	4	1	19	2
s2	48	6	2	1	0	2.007188500000666	1	4	1	2	1	19	2
s2	49	58	1	1	0	3.963416900000084	2	4	1	1	1	19	2
s2	50	54	1	1	30	13.224542400000246	4	2	2	3	1	19	2
s2	51	50	2	1	0	2.929281299999275	2	3	4	2	1	19	2
s2	52	49	1	0	90	3.0095573999997214	5	4	3	5	1	19	2
s2	53	13	1	0	100	1.7874873000000662	5	3	4	5	1	19	2
s2	54	60	2	1	40	3.2595510000001013	5	5	1	1	1	19	2
s2	55	47	2	0	0	2.61266760000035	5	5	1	2	1	19	2
s2	56	29	2	0	0	4.110054000000673	5	5	2	5	1	19	2
s2	57	25	2	0	0	3.476252700000259	5	3	1	3	1	19	2
s2	58	57	2	0	0	3.2335548000000927	2	4	2	1	1	19	2
s2	59	18	1	1	50	3.9012884000003396	2	3	3	3	1	19	2
s2	60	34	2	1	70	4.957011100000273	5	3	4	5	1	19	2
s3	1	45	2	0	22	14.51820699999962	5	5	2	5	0	25	2
s3	2	43	1	0	0	5.459525799999938	5	2	2	1	0	25	2
s3	3	49	1	0	30	6.912939300000289	4	5	2	5	0	25	2
s3	4	10	2	1	40	6.927288299999873	3	3	3	5	0	25	2
s3	5	21	1	0	50	8.336015799999586	5	5	2	5	0	25	2
s3	6	58	1	1	5	4.163852899999256	2	5	3	2	0	25	2
s3	7	48	2	1	30	5.806069000000207	1	3	3	2	0	25	2
s3	8	11	1	0	60	14.87134530000003	5	5	3	5	0	25	2
s3	9	46	1	1	5	6.182845199999974	1	4	3	4	0	25	2
s3	10	8	2	1	4	5.375272500000392	3	4	3	3	0	25	2
s3	11	52	1	1	25	5.359716099999787	4	4	3	5	0	25	2
s3	12	15	2	0	35	8.079739200000404	1	3	3	5	0	25	2
s3	13	18	1	1	45	6.386754099999962	1	4	3	3	0	25	2
s3	14	42	1	1	45	3.8729934000002686	1	3	3	3	0	25	2
s3	15	16	1	1	50	2.63845289999972	3	4	3	4	0	25	2
s3	16	60	1	1	55	3.065811599999506	1	3	3	3	0	25	2
s3	17	59	2	0	55	3.0155641999999716	5	5	3	5	0	25	2
s3	18	28	2	1	60	2.8544400999999198	5	5	2	5	0	25	2
s3	19	50	1	1	15	3.400200799999766	4	4	3	2	0	25	2
s3	20	32	2	1	35	4.312935699999798	2	5	3	4	0	25	2
s3	21	31	2	0	35	2.6252026000001933	5	5	3	5	0	25	2
s3	22	56	1	1	100	6.377125799999703	5	5	4	5	0	25	2
s3	23	19	1	0	40	3.655254000000241	2	5	2	4	0	25	2
s3	24	30	1	1	40	2.734211900000446	1	3	3	3	0	25	2
s3	25	38	2	1	30	3.3839768000007098	5	4	3	3	0	25	2
s3	26	29	2	0	45	6.06556350000028	5	3	3	5	0	25	2
s3	27	9	1	0	60	2.8362548999994033	5	4	3	4	0	25	2
s3	28	12	1	1	60	6.114597300000241	2	4	3	3	0	25	2
s3	29	47	1	0	20	2.3450572000001557	5	4	3	5	0	25	2
s3	30	39	2	0	35	2.955325800000537	4	5	2	5	0	25	2
s3	31	3	2	0	45	2.9099820999999793	4	4	2	4	0	25	2
s3	32	37	2	0	20	3.9505612000002657	5	4	2	4	0	25	2
s3	33	26	1	1	50	3.9735663000001296	3	5	2	5	0	25	2
s3	34	4	2	1	45	2.508557799999835	2	3	3	2	0	25	2
s3	35	6	2	1	10	2.829832499999611	4	4	3	3	0	25	2
s3	36	17	1	0	45	3.407700899999327	2	3	3	3	0	25	2
s3	37	33	1	0	20	2.6460188999999446	5	5	2	4	0	25	2
s3	38	24	1	1	35	4.533599700000195	1	4	3	3	0	25	2
s3	39	54	2	1	10	2.5952608000006876	5	3	3	3	0	25	2
s3	40	41	2	0	45	4.922757399999682	5	3	3	3	0	25	2
s3	41	51	1	0	35	3.8989371999996365	4	4	3	5	0	25	2
s3	42	5	2	0	40	2.8617636000008133	5	5	2	5	0	25	2
s3	43	23	1	0	30	2.9941588000001502	5	4	3	3	0	25	2
s3	44	25	1	0	50	4.175072400000317	5	5	3	5	0	25	2
s3	45	1	1	0	35	3.234903500000655	5	5	3	5	0	25	2
s3	46	44	2	1	0	4.3024279000001115	2	2	2	2	0	25	2
s3	47	35	1	0	20	3.69115789999978	5	3	3	3	0	25	2
s3	48	34	2	1	45	6.0964475000000675	4	5	3	4	0	25	2
s3	49	53	2	0	10	1.9821909000002051	3	3	3	2	0	25	2
s3	50	22	2	1	11	2.7791747999999643	1	2	3	3	0	25	2
s3	51	27	2	0	65	5.330561699999635	5	5	3	5	0	25	2
s3	52	36	1	1	15	2.5597954000004393	5	2	4	3	0	25	2
s3	53	14	1	1	70	4.203392100000201	5	5	3	5	0	25	2
s3	54	2	2	1	30	2.026105799999641	1	4	3	5	0	25	2
s3	55	55	2	0	80	3.0588746000003084	5	5	4	5	0	25	2
s3	56	7	2	0	5	3.27207240000007	3	4	2	3	0	25	2
s3	57	57	1	0	5	2.6981251999995948	3	4	2	3	0	25	2
s3	58	20	2	1	25	3.585994400000345	2	3	3	4	0	25	2
s3	59	13	2	0	75	5.9636609999997745	5	5	3	5	0	25	2
s3	60	40	2	1	12	4.8068711999994775	3	4	3	3	0	25	2
s4	1	22	1	1	40	19.80690169999798	4	3	3	4	0	18	4
s4	2	16	2	1	60	3.7886650000000373	4	3	4	4	0	18	4
s4	3	35	2	0	36	2.670963500000653	5	2	2	1	0	18	4
s4	4	56	2	1	80	6.444310300001234	5	2	4	4	0	18	4
s4	5	49	2	0	70	16.380053199998656	4	5	1	4	0	18	4
s4	6	53	2	0	100	5.574778099999094	4	5	2	4	0	18	4
s4	7	23	2	0	30	1.946510699999635	3	5	1	2	0	18	4
s4	8	60	2	1	40	2.425903399998788	4	4	2	2	0	18	4
s4	9	27	2	0	55	5.015020299997559	4	5	3	3	0	18	4
s4	10	19	1	0	50	2.478989899998851	4	4	2	3	0	18	4
s4	11	31	1	0	50	1.827742199999193	4	5	3	3	0	18	4
s4	12	47	1	0	40	1.5373339999969176	4	5	1	1	0	18	4
s4	13	3	2	0	70	2.4072551999997813	4	3	3	3	0	18	4
s4	14	58	2	1	40	2.3661012000011397	4	3	3	4	0	18	4
s4	15	29	1	0	100	4.940669200001139	5	5	4	5	0	18	4
s4	16	12	1	1	80	1.8448019999996177	4	2	3	4	0	18	4
s4	17	25	2	0	40	4.8300415000012435	3	5	2	2	0	18	4
s4	18	51	2	0	50	2.4203682000006665	3	5	2	2	0	18	4
s4	19	21	2	0	70	3.2872255999973277	4	5	1	4	0	18	4
s4	20	41	2	0	60	1.7676119999996445	4	5	2	3	0	18	4
s4	21	15	1	0	70	5.9422742999995535	4	3	2	5	0	18	4
s4	22	30	2	1	100	6.273673899999267	4	4	4	3	0	18	4
s4	23	13	1	0	80	3.6734338000023854	4	5	3	3	0	18	4
s4	24	4	1	1	70	4.033538899999257	5	3	4	4	0	18	4
s4	25	40	1	1	60	2.993367200000648	4	3	3	4	0	18	4
s4	26	43	2	0	80	1.9785896000030334	4	5	3	3	0	18	4
s4	27	59	2	0	40	2.336655500002962	4	5	2	2	0	18	4
s4	28	45	1	0	30	2.9723048000014387	4	5	1	2	0	18	4
s4	29	6	1	1	35	3.1387623000009626	4	3	3	4	0	18	4
s4	30	32	2	1	35	4.080335800001194	4	4	4	4	0	18	4
s4	31	28	2	1	60	1.9006432000023779	4	4	3	4	0	18	4
s4	32	11	2	0	75	3.78635629999917	5	2	3	4	0	18	4
s4	33	44	1	1	40	3.5740100999973947	4	3	2	3	0	18	4
s4	34	34	1	1	40	3.735674100000324	4	3	3	4	0	18	4
s4	35	42	1	1	45	3.512413899999956	3	3	3	4	0	18	4
s4	36	1	2	0	60	3.74453849999918	4	3	3	4	0	18	4
s4	37	36	1	1	0	3.6051766999989923	3	2	1	1	0	18	4
s4	38	48	2	1	0	1.2167499999995925	3	4	2	2	0	18	4
s4	39	18	1	1	40	1.596417400000064	4	4	2	3	0	18	4
s4	40	26	1	1	20	1.641561600001296	3	3	1	1	0	18	4
s4	41	10	2	1	70	5.401185499998974	3	4	2	3	0	18	4
s4	42	24	1	1	30	2.049344299997756	2	4	2	3	0	18	4
s4	43	20	2	1	40	3.0887430000002496	3	4	2	3	0	18	4
s4	44	57	1	0	30	6.810795899997174	5	4	2	4	0	18	4
s4	45	14	1	1	60	3.876706600000034	4	4	3	4	0	18	4
s4	46	38	1	1	0	3.1143192000017734	5	4	3	2	0	18	4
s4	47	2	1	1	55	6.393646499996976	4	3	3	4	0	18	4
s4	48	33	1	0	40	4.224871299997176	5	5	3	3	0	18	4
s4	49	5	2	0	40	5.938125500000751	5	5	1	3	0	18	4
s4	50	55	1	0	40	7.263912900001742	4	3	4	3	0	18	4
s4	51	17	1	0	40	4.350143799998477	1	3	2	3	0	18	4
s4	52	9	2	0	80	3.3852288000016415	5	5	2	3	0	18	4
s4	53	8	2	1	25	5.3444129999988945	3	4	3	4	0	18	4
s4	54	54	2	1	35	1.7771200999995926	4	4	2	4	0	18	4
s4	55	50	2	1	40	2.2671974999975646	2	3	2	2	0	18	4
s4	56	52	1	1	45	5.096931200001563	2	4	1	2	0	18	4
s4	57	7	1	0	35	2.119735000000219	5	5	2	4	0	18	4
s4	58	39	2	0	55	4.461075600000186	4	3	3	4	0	18	4
s4	59	46	1	1	35	2.5002843999973265	2	3	2	3	0	18	4
s4	60	37	1	0	0	1.44975020000129	4	5	1	1	0	18	4
s5	1	45	2	0	29	4.751348900001176	5	4	1	5	1	23	5
s5	2	4	2	1	74	5.218330399999104	4	3	2	4	1	23	5
s5	3	53	2	0	20	2.5557608000017353	3	3	1	3	1	23	5
s5	4	13	2	0	83	3.537316900001315	3	4	3	4	1	23	5
s5	5	59	1	0	70	2.4814051000030304	2	3	1	3	1	23	5
s5	6	50	1	1	65	5.343351700001222	2	4	1	2	1	23	5
s5	7	26	1	1	68	11.573919999998907	3	3	2	4	1	23	5
s5	8	18	2	1	51	3.5727117999995244	2	4	1	3	1	23	5
s5	9	27	2	0	87	2.9765081999976246	4	5	1	4	1	23	5
s5	10	58	2	1	31	2.4131693999988784	4	3	1	4	1	23	5
s5	11	25	2	0	60	2.685053199998947	4	4	1	4	1	23	5
s5	12	10	1	1	69	3.308316000002378	3	4	2	3	1	23	5
s5	13	39	2	0	54	4.295540200000687	5	5	2	3	1	23	5
s5	14	35	1	0	38	2.784441899999365	5	2	1	3	1	23	5
s5	15	52	1	1	58	3.071919300000445	4	4	1	3	1	23	5
s5	16	43	1	0	57	3.4579013000002305	1	3	2	3	1	23	5
s5	17	16	1	1	67	5.461771400001453	2	3	3	3	1	23	5
s5	18	51	2	0	39	3.340728399998625	4	5	1	4	1	23	5
s5	19	37	2	0	27	3.650047799997992	5	4	1	2	1	23	5
s5	20	48	2	1	32	1.6889488999986497	1	4	1	3	1	23	5
s5	21	17	2	0	48	2.920198599997093	3	3	2	3	1	23	5
s5	22	2	2	1	63	3.9835397000024386	4	3	3	4	1	23	5
s5	23	9	2	0	56	3.4853696999998647	4	5	1	3	1	23	5
s5	24	40	1	1	41	2.657891099999688	4	4	1	4	1	23	5
s5	25	41	1	0	42	2.1032416999987618	5	4	1	4	1	23	5
s5	26	57	1	0	21	3.208589000001666	4	4	1	4	1	23	5
s5	27	8	1	1	44	4.407869599999685	3	3	2	3	1	23	5
s5	28	55	2	0	50	2.332833499996923	2	5	1	3	1	23	5
s5	29	56	2	1	63	2.2005671999977494	3	3	1	3	1	23	5
s5	30	20	1	1	47	2.257961700001033	3	3	1	3	1	23	5
s5	31	7	1	0	38	3.0651656000009098	5	5	1	4	1	23	5
s5	32	31	2	0	44	2.6114622999994026	4	5	1	3	1	23	5
s5	33	30	1	1	73	5.685386699999071	4	3	2	3	1	23	5
s5	34	28	2	1	81	2.718898300001456	4	4	1	3	1	23	5
s5	35	54	2	1	35	3.2020909999992	2	2	1	2	1	23	5
s5	36	29	1	0	54	4.856470400001854	3	3	1	5	1	23	5
s5	37	33	1	0	48	3.7699292999968748	5	5	1	3	1	23	5
s5	38	36	1	1	47	3.7495602999988478	4	2	1	3	1	23	5
s5	39	22	2	1	56	2.499477900000784	1	2	2	2	1	23	5
s5	40	24	2	1	64	5.156459500001802	3	4	2	3	1	23	5
s5	41	44	1	1	61	3.29074639999817	2	4	2	3	1	23	5
s5	42	5	2	0	21	1.535217399999965	5	4	1	4	1	23	5
s5	43	47	2	0	25	3.044147900000098	4	5	1	3	1	23	5
s5	44	21	1	0	68	6.522105299998657	3	3	1	4	1	23	5
s5	45	49	2	0	80	2.7202006000006804	4	5	1	5	1	23	5
s5	46	6	2	1	51	1.9647562999998627	3	4	2	3	1	23	5
s5	47	3	1	0	85	4.133142899998347	4	3	2	4	1	23	5
s5	48	14	1	1	82	2.929336400000466	4	3	2	4	1	23	5
s5	49	46	1	1	71	3.677212499998859	3	3	1	4	1	23	5
s5	50	15	1	0	55	2.498191399998177	3	3	2	5	1	23	5
s5	51	32	1	1	56	2.6116236000016215	1	4	1	3	1	23	5
s5	52	42	1	1	55	5.165474600002199	3	3	1	3	1	23	5
s5	53	34	1	1	58	2.4077799000006053	4	4	1	3	1	23	5
s5	54	19	2	0	58	8.300889899997856	3	4	1	4	1	23	5
s5	55	1	2	0	70	1.2165270000004966	4	3	2	4	1	23	5
s5	56	23	2	0	66	4.473405900000216	4	4	1	4	1	23	5
s5	57	60	1	1	65	4.249959299999318	4	3	1	4	1	23	5
s5	58	11	1	0	55	4.6116896999992605	4	3	2	3	1	23	5
s5	59	12	1	1	65	4.3236070000020845	3	3	2	4	1	23	5
s5	60	38	2	1	38	2.5155013000003237	4	5	1	3	1	23	5
s6	1	42	1	1	90	10.221267999999782	3	2	1	2	0	47	5
s6	2	19	1	0	70	15.630431300000055	3	4	1	3	0	47	5
s6	3	26	2	1	40	1.8537459999997736	3	4	1	3	0	47	5
s6	4	59	2	0	70	13.006651499999862	5	5	1	4	0	47	5
s6	5	13	2	0	70	2.3162403000001177	4	5	1	4	0	47	5
s6	6	60	1	1	100	4.905506400000377	4	4	2	4	0	47	5
s6	7	43	2	0	60	6.800126600000112	3	5	1	2	0	47	5
s6	8	3	1	0	60	15.875869300000431	5	4	1	5	0	47	5
s6	9	9	2	0	80	8.264891000000262	4	4	2	3	0	47	5
s6	10	39	2	0	65	8.315127999999731	5	3	1	4	0	47	5
s6	11	44	1	1	70	19.341340800000125	3	3	1	2	0	47	5
s6	12	55	1	0	100	15.92459430000008	1	4	1	2	0	47	5
s6	13	53	2	0	30	2.145659599999817	5	4	1	3	0	47	5
s6	14	33	2	0	55	2.335779900000034	5	4	3	2	0	47	5
s6	15	58	2	1	40	5.568755899999815	4	4	1	4	0	47	5
s6	16	7	1	0	30	5.284529399999883	5	5	1	2	0	47	5
s6	17	22	1	1	0	13.536457400000018	1	4	1	3	0	47	5
s6	18	27	2	0	50	1.8454459999998107	5	4	2	3	0	47	5
s6	19	34	2	1	70	2.259672600000158	3	2	2	1	0	47	5
s6	20	2	2	1	75	5.413118599999962	5	4	2	4	0	47	5
s6	21	52	1	1	42	12.942379699999947	5	5	1	4	0	47	5
s6	22	30	2	1	52	6.2426212999998825	5	3	4	3	0	47	5
s6	23	46	1	1	25	5.699675700000171	2	4	1	3	0	47	5
s6	24	41	2	0	45	4.0224154999996244	4	3	1	2	0	47	5
s6	25	56	1	1	68	15.388806299999942	3	4	1	3	0	47	5
s6	26	32	1	1	0	18.75557919999983	1	4	1	3	0	47	5
s6	27	25	2	0	25	6.396379600000273	4	4	1	3	0	47	5
s6	28	5	2	0	35	4.801670599999852	5	5	1	4	0	47	5
s6	29	38	2	1	46	5.859036800000013	4	3	2	3	0	47	5
s6	30	18	2	1	70	35.09662109999999	3	2	2	3	0	47	5
s6	31	24	1	1	40	6.894348799999989	3	5	1	3	0	47	5
s6	32	35	1	0	51	10.189508999999816	5	2	2	3	0	47	5
s6	33	11	2	0	69	7.531523600000128	4	3	2	3	0	47	5
s6	34	14	1	1	110	20.205595999999787	5	4	2	5	0	47	5
s6	35	31	1	0	35	9.425384099999974	3	4	2	2	0	47	5
s6	36	23	2	0	26	4.808864699999958	5	4	1	3	0	47	5
s6	37	4	1	1	82	12.15390380000008	4	4	2	4	0	47	5
s6	38	54	2	1	45	7.309809899999891	4	4	1	3	0	47	5
s6	39	12	2	1	99	4.025242300000173	2	2	3	2	0	47	5
s6	40	29	2	0	50	10.67457579999973	5	3	4	5	0	47	5
s6	41	50	1	1	98	8.465948600000047	2	4	1	1	0	47	5
s6	42	16	1	1	85	27.602388699999665	3	3	2	4	0	47	5
s6	43	8	2	1	0	5.259154800000033	4	5	1	2	0	47	5
s6	44	57	1	0	15	6.804489799999828	5	5	1	4	0	47	5
s6	45	17	2	0	45	3.1752724000002672	1	3	1	3	0	47	5
s6	46	28	2	1	79	4.082436800000323	5	3	3	3	0	47	5
s6	47	10	1	1	95	10.319073600000138	4	3	2	3	0	47	5
s6	48	47	2	0	30	3.6594543999999587	5	5	1	4	0	47	5
s6	49	37	1	0	32	8.815679299999829	5	4	1	3	0	47	5
s6	50	1	1	0	50	9.717338899999959	5	4	1	4	0	47	5
s6	51	40	1	1	65	14.235076500000105	4	4	1	3	0	47	5
s6	52	49	2	0	65	29.85423579999997	5	5	1	5	0	47	5
s6	53	21	1	0	100	19.21093699999983	5	5	1	5	0	47	5
s6	54	20	2	1	80	6.394009900000128	4	4	2	4	0	47	5
s6	55	15	2	0	57	13.733728899999733	4	4	1	5	0	47	5
s6	56	6	1	1	67	20.69543500000009	4	5	1	4	0	47	5
s6	57	45	1	0	41	5.576201299999866	5	5	1	3	0	47	5
s6	58	48	1	1	43	5.463466400000016	5	2	3	2	0	47	5
s6	59	51	1	0	40	8.72254810000004	5	5	1	4	0	47	5
s6	60	36	1	1	59	6.902393300000313	5	2	2	3	0	47	5
s7	1	16	1	1	13	9.51223310000023	4	4	5	2	1	21	5
s7	2	13	1	0	35	5.354453500000091	5	5	2	5	1	21	5
s7	3	7	1	0	40	4.195365600000514	5	5	1	5	1	21	5
s7	4	31	1	0	59	10.123098899999604	5	4	2	4	1	21	5
s7	5	41	1	0	85	2.1573293000001286	5	5	4	5	1	21	5
s7	6	57	1	0	10	2.0235850999997638	4	5	4	4	1	21	5
s7	7	38	1	1	22	10.564769200000228	4	2	4	2	1	21	5
s7	8	14	1	1	40	7.368719300000521	5	5	2	5	1	21	5
s7	9	18	2	1	36	7.491150099998777	5	2	4	4	1	21	5
s7	10	3	2	0	5	4.693367700001545	5	5	4	5	1	21	5
s7	11	59	2	0	64	2.832270899998548	5	5	2	2	1	21	5
s7	12	51	2	0	120	4.08852939999997	5	5	1	5	1	21	5
s7	13	35	2	0	37	5.967649599999277	5	2	5	1	1	21	5
s7	14	10	1	1	50	3.795568400000775	5	5	2	5	1	21	5
s7	15	53	1	0	7	5.778606299998501	5	2	2	1	1	21	5
s7	16	9	1	0	50	1.591113200000109	5	5	2	5	1	21	5
s7	17	48	2	1	26	9.680542699999933	1	3	3	3	1	21	5
s7	18	30	2	1	99	2.6544682000003377	5	4	5	5	1	21	5
s7	19	36	2	1	20	1.802787200000239	5	1	5	1	1	21	5
s7	20	33	2	0	49	2.792306400000598	4	5	2	4	1	21	5
s7	21	1	1	0	55	2.188262500001656	5	4	4	4	1	21	5
s7	22	22	2	1	0	2.987386400000105	1	3	3	3	1	21	5
s7	23	39	1	0	121	2.5444363999995403	5	5	4	5	1	21	5
s7	24	4	2	1	51	5.128398700000616	5	2	4	2	1	21	5
s7	25	47	1	0	40	8.619943699999567	5	2	1	1	1	21	5
s7	26	32	2	1	26	3.7870043000002624	1	3	3	3	1	21	5
s7	27	58	2	1	10	2.6472775000002002	5	5	5	4	1	21	5
s7	28	11	2	0	50	2.552392300000065	5	5	2	5	1	21	5
s7	29	25	1	0	60	8.804129300000568	5	4	2	1	1	21	5
s7	30	20	2	1	70	1.9334662999990542	5	4	4	4	1	21	5
s7	31	50	2	1	70	1.860246999998708	5	5	1	1	1	21	5
s7	32	24	1	1	20	1.7936066000002029	5	4	4	2	1	21	5
s7	33	46	1	1	30	7.068328299999848	5	5	2	5	1	21	5
